col1,col2,col3,col4,ans
0.3000,0.3571,0.3500,0.1000,
0.4000,0.3774,0.6000,0.1046,
0.3564,0.3150,0.2917,0.1040,
0.3241,0.2643,0.1000,0.0850,
0.1600,0.2171,0.0417,0.0700,
0.2852,0.2806,0.1250,0.0805,
0.1405,0.2176,0.1583,0.1000,
0.5006,0.4857,0.2333,0.1600,
0.4864,0.5014,0.3250,0.2500,
0.5120,0.5457,0.3583,0.2650,
0.3974,0.4000,0.2250,0.2100,
0.3800,0.3571,0.3417,0.1270,
0.3308,0.4286,0.2417,0.1505,
0.5784,0.5857,0.4833,0.3124,
0.3174,0.3821,0.1583,0.0805,
0.5368,0.5571,0.3917,0.2605,
0.4920,0.5493,0.5333,0.2200,
0.4330,0.5361,0.5000,0.1970,
0.3720,0.4357,0.6167,0.2246,
0.7005,0.7429,0.6083,0.3646,
0.7805,0.7436,0.2167,0.3145,
0.5500,0.5214,0.0500,0.2112,
0.6500,0.6514,0.0833,0.3317,
0.5593,0.5750,0.3167,0.2734,
0.7450,0.7286,0.5667,0.3706,
0.3305,0.3821,0.0750,0.1700,
0.5138,0.5652,0.4000,0.3050,
0.6900,0.7295,0.3083,0.4300,
0.1970,0.0193,0.1083,0.0400,
0.3390,0.3511,0.1500,0.0900,
